PERIODE;AREA;;
; JBR ; GSK ; PMK 
01/01/2004;402.844;156.548;338.248
01/02/2004;402.871;156.740;338.498
01/03/2004;402.819;157.111;339.081
01/04/2004;402.864;157.268;339.923
01/05/2004;402.980;157.674;340.629
01/06/2004;403.130;158.069;341.026
01/07/2004;405.255;158.373;341.211
01/08/2004;406.276;158.759;341.365
01/09/2004;407.366;159.052;342.278
01/10/2004;407.745;159.401;342.975
01/11/2004;409.039;159.964;344.356
01/12/2004;411.878;160.288;345.677
01/01/2005;412.683;160.361;346.422
01/02/2005;412.915;160.458;346.625
01/03/2005;413.097;160.894;346.765
01/04/2005;413.585;161.735;346.795
01/05/2005;415.094;161.868;346.999
01/06/2005;415.280;162.450;348.083
01/07/2005;416.450;162.558;348.286
01/08/2005;417.640;163.085;349.195
01/09/2005;417.791;163.162;350.065
01/10/2005;417.933;163.176;350.818
01/11/2005;418.889;163.635;350.909
01/12/2005;419.924;164.342;351.385
01/01/2006;421.411;165.006;355.915
01/02/2006;421.602;165.037;356.503
01/03/2006;423.076;165.182;356.718
01/04/2006;423.784;165.410;356.787
01/05/2006;424.444;165.891;357.060
01/06/2006;424.871;166.257;357.094
01/07/2006;425.319;166.678;357.583
01/08/2006;426.213;167.192;357.838
01/09/2006;426.448;167.713;358.626
01/10/2006;427.146;167.966;358.751
01/11/2006;428.092;168.649;360.816
01/12/2006;429.260;169.143;362.593
01/01/2007;431.135;170.074;364.121
01/02/2007;431.645;170.460;365.347
01/03/2007;432.040;170.604;366.232
01/04/2007;432.191;170.740;366.545
01/05/2007;433.560;171.077;367.238
01/06/2007;434.509;171.345;367.914
01/07/2007;435.310;171.767;368.329
01/08/2007;435.768;172.121;369.272
01/09/2007;437.451;172.471;369.915
01/10/2007;438.851;172.735;370.058
01/11/2007;439.492;172.983;370.343
01/12/2007;440.244;173.342;371.500
01/01/2008;441.201;173.806;372.568
01/02/2008;442.032;173.818;373.187
01/03/2008;442.872;173.998;373.884
01/04/2008;443.150;174.473;374.693
01/05/2008;443.568;174.542;375.288
01/06/2008;445.683;175.005;376.323
01/07/2008;446.401;175.345;377.325
01/08/2008;447.017;175.966;377.576
01/09/2008;448.584;176.098;377.671
01/10/2008;450.595;176.560;378.949
01/11/2008;451.052;176.779;379.606
01/12/2008;454.612;176.991;379.961
01/01/2009;457.280;177.673;381.452
01/02/2009;459.044;177.799;383.919
01/03/2009;459.829;177.790;384.931
01/04/2009;460.565;177.924;385.688
01/05/2009;461.322;178.356;385.934
01/06/2009;461.838;178.660;387.660
01/07/2009;462.715;178.847;388.017
01/08/2009;462.883;179.389;388.239
01/09/2009;462.880;179.885;389.464
01/10/2009;465.199;180.048;391.535
01/11/2009;467.892;180.371;393.177
01/12/2009;471.061;180.730;395.048
01/01/2010;473.562;181.205;397.422
01/02/2010;474.728;181.276;398.708
01/03/2010;476.243;181.180;401.315
01/04/2010;476.844;180.965;399.272
01/05/2010;478.537;181.148;397.263
01/06/2010;480.246;181.535;399.309
01/07/2010;482.269;181.877;400.393
01/08/2010;484.131;182.185;401.313
01/09/2010;486.117;182.587;403.412
01/10/2010;488.857;182.657;404.857
01/11/2010;501.515;188.850;413.003
01/12/2010;522.720;189.969;419.304
01/01/2011;606.510;191.947;426.808
01/02/2011;605.416;191.193;465.371
01/03/2011;683.256;191.846;441.734
01/04/2011;684.622;192.230;442.618
01/05/2011;686.470;193.214;443.919
01/06/2011;693.320;194.663;445.529
01/07/2011;695.627;196.318;447.533
01/08/2011;697.019;196.711;448.430
01/09/2011;701.331;198.097;451.307
01/10/2011;702.734;198.493;452.211
01/11/2011;706.716;199.282;453.837
01/12/2011;624.197;207.244;456.842
01/01/2012;584.205;208.136;457.697
01/02/2012;588.790;208.797;459.847
01/03/2012;589.952;209.201;460.745
01/04/2012;599.389;210.578;588.513
01/05/2012;606.938;214.302;594.844
01/06/2012;613.040;215.521;598.942
01/07/2012;618.013;216.722;602.042
01/08/2012;619.233;217.142;476.247
01/09/2012;626.400;217.817;478.763
01/10/2012;632.428;218.746;481.496
01/11/2012;647.323;220.323;488.650
01/12/2012;656.134;221.137;491.450
01/01/2013;655.587;215.963;492.435
01/02/2013;661.330;217.152;495.748
01/03/2013;676.462;219.065;499.360
01/04/2013;684.916;220.012;503.177
01/05/2013;692.291;221.387;505.382
01/06/2013;693.901;222.461;506.535
01/07/2013;696.290;223.367;508.900
01/08/2013;701.217;224.043;512.447
01/09/2013;706.837;224.975;516.312
01/10/2013;716.374;226.480;519.481
01/11/2013;723.194;227.719;524.513
01/12/2013;728.345;228.876;528.677
01/01/2014;733.528;230.279;533.746
01/02/2014;738.752;231.143;537.718
01/03/2014;743.165;232.120;541.443
01/04/2014;747.247;233.258;544.999
01/05/2014;751.035;234.394;547.232
01/06/2014;754.144;235.744;548.434
01/07/2014;755.637;236.213;549.507
01/08/2014;761.040;237.677;554.257
01/09/2014;764.990;239.012;556.607
01/10/2014;770.038;240.328;562.427
01/11/2014;728.345;228.876;528.677
01/12/2014;768.047;242.069;565.095
01/01/2015;780.090;244.515;578.937
01/02/2015;817.284;257.752;601.326
